time,open,high,low,close,Plot,Plot,ROC Line
1003183200,1502,1515.75,1499.5,1509.5,13.558333333326345,13.452604166659853,4.75
1003269600,1508.25,1525.25,1486.25,1486.75,7.408333333326254,16.22604166665984,-16.5
1003356000,1486.5,1491.75,1476.5,1484.5,1.3333333333264363,17.314062499993156,-25
1003442400,1484.5,1488.75,1469.5,1483.25,-7.491666666673609,17.063541666659816,-3.5
1003701600,1483.25,1505.25,1478.75,1504.25,-4.48333333334017,16.12291666665982,19.75
1003788000,1503.75,1512.5,1492.25,1499,-2.4750000000069576,14.713541666659822,15.75
1003874400,1497.75,1510,1491,1495.75,1.5166666666598303,12.969270833326476,-8.5
1003960800,1496.5,1515.25,1476.5,1513.75,4.3583333333263,11.118229166659802,14.75
1004047200,1513.75,1523.25,1505.75,1512.75,8.14166666665983,9.402083333326459,17
1004310000,1514,1514,1483,1483.75,6.091666666659876,7.8333333333264505,-30
1004396400,1485,1485.5,1464.25,1470,-4.541666666673564,6.152083333326445,-42.75
1004482800,1469.75,1487,1466.25,1467,-17.816666666673655,4.224999999993102,-16.75
1004569200,1468.25,1498.5,1464,1492.75,-15.6416666666737,2.6239583333264136,22.75
1004655600,1493.25,1502,1485.75,1500.25,-7.258333333340261,1.3109374999930736,33.25
1004914800,1500,1519,1498.75,1514.5,7.549999999992906,0.5291666666597337,21.75
1005001200,1516.75,1532.5,1506,1531.75,17.274999999992815,0.47031249999304237,31.5
1005087600,1531.25,1538.75,1519.5,1529.75,23.70833333332621,1.1046874999930338,15.25
1005174000,1529.25,1548.25,1526.75,1534.25,28.24166666665974,2.4067708333263766,2.5
1005260400,1533.5,1537.25,1522,1534.25,26.924999999992906,4.006249999993031,4.5
1005519600,1533.25,1537.75,1507.25,1528,21.91666666665992,5.844270833326377,-6.25
1005606000,1527.5,1552.75,1526,1552.5,19.74999999999318,7.358854166659711,18.25
1005692400,1552.25,1563,1544.5,1554.25,17.691666666659785,8.619270833326382,26.25
1005778800,1553,1562.75,1546,1556,20.699999999993224,9.81822916665972,3.5
1005865200,1556.25,1562.25,1541,1550.75,15.066666666660012,10.487499999993076,-3.5
1006124400,1551.25,1565.5,1551,1564.75,13.541666666659921,10.824999999993082,8.75
1006210800,1565,1566.25,1553,1555,10.883333333326618,11.124479166659754,4.25
1006297200,1554,1559.75,1541.75,1547.75,8.083333333326664,11.913541666659768,-17
1006470000,1547.75,1564.5,1542.25,1563.5,4.741666666660194,13.323437499993133,8.5
1006729200,1563.25,1569.75,1557,1565.75,5.174999999993361,14.624479166659825,18
1006815600,1566.25,1575.5,1551.5,1561.25,6.349999999993543,15.474999999993187,-2.25
1006902000,1560.75,1561.75,1539,1540,-0.23333333333971495,14.988541666659899,-25.75
1006988400,1540.5,1555.25,1535.75,1555.25,-3.8333333333398514,13.669270833326607,-6
1007074800,1555.25,1555.25,1545.75,1546,-7.916666666673336,11.692708333326635,6
1007334000,1548,1549,1536,1540.25,-6.783333333339897,9.503645833326658,-15
1007420400,1539.75,1558.75,1538.5,1558.5,-5.075000000006639,7.503645833326686,12.5
1007506800,1558.25,1586,1556.25,1579.75,3.6999999999932243,6.365104166660018,39.5
1007593200,1579.25,1585.25,1574.75,1579.25,13.54999999999336,5.977604166660029,20.75
1007679600,1579.5,1581.25,1563,1571.25,17.024999999993497,5.935937499993386,-8.5
1007938800,1571.25,1573.25,1549.25,1549.5,8.56666666666024,5.177604166660075,-29.75
1008025200,1550,1562.5,1544.25,1547,-0.7583333333398059,4.188541666660086,-24.25
1008111600,1547.5,1554.25,1536.5,1548.5,-9.1916666666732,2.767708333326766,-1
1008198000,1548.75,1549.25,1525.25,1526.5,-13.983333333339715,1.2135416666601202,-20.5
1008284400,1526.25,1548.75,1525,1536.75,-16.475000000006503,-0.3213541666732027,-11.75
1008543600,1535,1548.75,1530,1546.75,-17.708333333339624,-1.7244791666731913,20.25
1008630000,1546.25,1555.75,1543.75,1553.75,-8.150000000006457,-2.55729166667318,17
1008716400,1553.5,1563,1544,1561.75,1.983333333326982,-2.83020833333984,15
1008802800,1561.25,1561.75,1549.5,1550.25,6.049999999993588,-2.4375000000065086,-3.5
1008889200,1550,1559,1548,1557.25,8.616666666660421,-1.6593750000064915,-4.5
1009148400,1556.75,1557.75,1551.25,1555.25,5.874999999993861,-0.7973958333397917,5
1009321200,1553.75,1569.5,1551.75,1561.5,8.174999999993815,0.13749999999356532,4.25
