Time_PT,Open,High,Low,Close,Volume,Trades,BidVolume,AskVolume,Delta
2026-08-13 08:55:25-07:00,7801.75,7801.75,7801.25,7801.5,73,47,43,30,-13
2026-08-13 08:55:26-07:00,7801.5,7801.5,7801.0,7801.5,43,32,21,22,1
2026-08-13 08:55:27-07:00,7801.5,7801.5,7800.75,7801.0,56,43,30,26,-4
2026-08-13 08:55:28-07:00,7801.0,7801.25,7800.75,7801.0,19,18,10,9,-1
2026-08-13 08:55:29-07:00,7801.0,7801.5,7800.5,7801.0,153,101,46,107,61
2026-08-13 08:55:30-07:00,7801.0,7801.0,7800.75,7801.0,1,1,0,1,1
2026-08-13 08:55:31-07:00,7801.0,7801.25,7800.5,7800.75,56,42,25,31,6
2026-08-13 08:55:32-07:00,7800.75,7801.0,7800.5,7800.75,21,18,14,7,-7
2026-08-13 08:55:33-07:00,7800.75,7801.0,7800.75,7800.75,6,6,6,0,-6
2026-08-13 08:55:34-07:00,7800.75,7801.0,7800.5,7801.0,12,11,2,10,8
2026-08-13 08:55:35-07:00,7801.0,7801.0,7800.75,7800.75,2,2,2,0,-2
2026-08-13 08:55:36-07:00,7800.75,7801.0,7800.75,7800.75,2,2,1,1,0
2026-08-13 08:55:37-07:00,7800.75,7801.0,7800.5,7800.75,61,32,54,7,-47
2026-08-13 08:55:38-07:00,7800.75,7800.75,7800.5,7800.75,3,3,0,3,3
2026-08-13 08:55:39-07:00,7800.75,7801.25,7800.5,7801.0,44,37,5,39,34
2026-08-13 08:55:40-07:00,7801.0,7801.25,7800.75,7801.0,16,16,4,12,8
2026-08-13 08:55:41-07:00,7801.0,7801.0,7801.0,7801.0,0,0,0,0,0
2026-08-13 08:55:42-07:00,7801.0,7801.0,7800.5,7800.5,31,26,29,2,-27
2026-08-13 08:55:43-07:00,7800.5,7800.75,7800.25,7800.5,8,6,1,7,6
2026-08-13 08:55:44-07:00,7800.5,7800.75,7800.5,7800.75,4,4,0,4,4
2026-08-13 08:55:45-07:00,7800.75,7800.75,7800.25,7800.5,32,22,16,16,0
2026-08-13 08:55:46-07:00,7800.5,7801.0,7800.25,7800.75,30,29,10,20,10
2026-08-13 08:55:47-07:00,7800.75,7800.75,7800.5,7800.5,5,5,5,0,-5
